MODELO;ID_CLIENTE;MODELOS;MARCA
SOUL 1.6;2567;SOUL;KIA
SOUL DAB 1.6;368;SOUL;KIA
SOUL EX;942;SOUL;KIA
SOUL EX 1.6;1296;SOUL;KIA
SOUL LX 1.6;5221;SOUL;KIA
SOUL LX DAB 1.6;1671;SOUL;KIA
SPORTAGE;11480;SPORTAGE;KIA
SPORTAGE EX FULL 4X4 2.0 AUT;457;SPORTAGE;KIA
SPORTAGE LX 2.0;10640;SPORTAGE;KIA
SPORTAGE LX 2.0 AT;369;SPORTAGE;KIA
SPORTAGE LX 2.0 AUT;2454;SPORTAGE;KIA
SPORTAGE LX 4X4 2.0;1271;SPORTAGE;KIA
SPORTAGE LX DAB 2.0;632;SPORTAGE;KIA
SPORTAGE LX GLS 2.0;429;SPORTAGE;KIA
SPORTAGE PRO II 2.0;682;SPORTAGE;KIA
SPORTAGE PRO II LX 2.0;610;SPORTAGE;KIA
SPORTAGE PRO II LX D;432;SPORTAGE;KIA
SPORTAGE PRO II LX DAB 2.0;854;SPORTAGE;KIA
SPRINT;761;SPRINT;CHEVROLET
STAREX;2420;STAREX;HYUNDAI
STAVIC;1254;STAVIC;SSANGYONG
STAVIC 2.0;469;STAVIC;SSANGYONG
SUCCE 1.6;413;SUCCE 1.6;ZNA
SURAN HIGHLINE 1.6;728;SURAN HIGHLINE 1.6;VOLKSWAGEN
TEPEE;626;TEPEE;PEUGEOT
TEPEE OUTDOOR ALLURE HDI 1.6;490;TEPEE;PEUGEOT
TEPEE OUTDOOR HDI 1.6;780;TEPEE;PEUGEOT
TERIOS;1820;TERIOS;DAIHATSU
TERIOS 1.5;1520;TERIOS;DAIHATSU
TERIOS GLI 1.5;881;TERIOS;DAIHATSU
TERIOS LEI 1.5;653;TERIOS;DAIHATSU
TERIOS WILD 1.5;376;TERIOS;DAIHATSU
TIGGO;3411;TIGGO;CHERY
TIGGO 1.6;7318;TIGGO;CHERY
TIGGO 2;2350;TIGGO;CHERY
TIGGO 3;852;TIGGO;CHERY
TIGGO DVVT 1.6;1329;TIGGO;CHERY
TIGUAN;833;TIGUAN;VOLKSWAGEN
TIVOLI;1064;TIVOLI;SSANGYONG
TIVOLI 1.6;469;TIVOLI;SSANGYONG
TRACKER;5134;TRACKER;CHEVROLET
TRACKER LS 1.8;1687;TRACKER;CHEVROLET
TRACKER LT;1258;TRACKER;CHEVROLET
TRACKER LT 1.8;3972;TRACKER;CHEVROLET
TRACKER LT AWD 1.8 AT;501;TRACKER;CHEVROLET
TRAVERSE;919;TRAVERSE;CHEVROLET
TRAVERSE 3.6;438;TRAVERSE;CHEVROLET
TRAVERSE LT SU AWD 3.6;453;TRAVERSE;CHEVROLET
TRIP 1.8;959;TRIP 1.8;JAC
TUCSON;12610;TUCSON;HYUNDAI
TUCSON 2.0;605;TUCSON;HYUNDAI
TUCSON GL 2.0;5447;TUCSON;HYUNDAI
TUCSON GL 2.0 AT;370;TUCSON;HYUNDAI
TUCSON GL 2.0 AUT;946;TUCSON;HYUNDAI
TUCSON TL GL ADVANCE 2.0;934;TUCSON;HYUNDAI
TUCSON TLADVANCE;939;TUCSON;HYUNDAI
V5;672;V5;BRILLIANCE
VAN;519;VAN;LIFAN
VAN EX 1.3;1094;VAN;LIFAN
VERACRUZ GLS 3.0 AUT;464;VERACRUZ GLS 3.0 AUT;HYUNDAI
VITARA;1501;VITARA;TOYOTA
VITARA GLS 1.6;627;VITARA;TOYOTA
VITARA4X4;709;VITARA;TOYOTA
WRANGLER;1149;WRANGLER;JEEP
WRANGLER UNLIMITED S;425;WRANGLER;JEEP
X 1;721;X 1;BMW
X 3;487;X 3;BMW
X 5;707;X 5;BMW
X TRAIL;6128;X TRAIL;NISSAN
X TRAIL 2.5;1664;X TRAIL;NISSAN
X TRAIL 2.5 AUT;750;X TRAIL;NISSAN
X TRAIL 4X4 2.5;1008;X TRAIL;NISSAN
X TRAIL ADVANCE 2.5;413;X TRAIL;NISSAN
X TRAIL ADVANCE 2.5 AUT;509;X TRAIL;NISSAN
X TRAIL S 2.5 AUT;784;X TRAIL;NISSAN
X TRAIL S 4X4;385;X TRAIL;NISSAN
X TRAIL S 4X4 2.5 AUT;573;X TRAIL;NISSAN
X TRAIL SENSE 2.5;1692;X TRAIL;NISSAN
X TRAIL SENSE 2.5 AUT;1414;X TRAIL;NISSAN
X TRAIL SENSE CVT 2.5;418;X TRAIL;NISSAN
X1 XDRIVE 20I SPORT;367;X1 ;BMW
X25;832;X25;BAIC
X5 XDRIVE 35I 3.0 AUT;463;X5 ;BMW
X6;495;X6;BMW
X6 XDRIVE30D 3.0 AUT;565;X6;BMW
X6 XDRIVE35I 3.0 AUT;397;X6;BMW
X60 EX 1.8;786;X60 EX 1.8;LIFAN
XC70 D5 COMFORT;410;XC70 D5 COMFORT;VOLVO
XTRAIL 4X4 2.5 AUT;947;X TRAIL;NISSAN
XTRAIL FULL 4WD 2.5;368;X TRAIL;NISSAN
XTRAIL S 2.5;568;X TRAIL;NISSAN
XTRAIL S 4X4 2.5;1594;X TRAIL;NISSAN
XTRAIL X 4X4 2.5;617;X TRAIL;NISSAN
XTRAIL X 4X4 2.5 AUT;680;X TRAIL;NISSAN
XUV 500 2.2;1975;XUV 500 ;MAHINDRA
XUV500;2228;XUV 501;MAHINDRA
XUV500 CRDE 2.2;389;XUV 502;MAHINDRA
XV;4503;XV;SUBARU
XV 2.0 AWD;542;XV;SUBARU
XV 2.0R AWD;502;XV;SUBARU
XV 2.0R AWD AUT;371;XV;SUBARU
XV AWD 1.6I;365;XV;SUBARU
XV AWD 2.0I;627;XV;SUBARU
XV AWD 2.0I AUT;372;XV;SUBARU
XV AWD CVT 2.0I;411;XV;SUBARU
XV LTD AWD CVT 2.0I;367;XV;SUBARU
XVI;437;XVI;SUBARU
